OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
AIL,Morcote,6922,Strecia da la Filanda,nan,45.92475,8.919802,19
AIL,Muzzano,6933,Via alla foce,14.0,45.99541246533,8.90844226332903,2
AVIA VOLT Suisse AG,Sankt Gallen,9015,Zürcher Strasse 464,,47.40828186,9.30368267,42
AVIA VOLT Suisse AG,Zurich,8000,Hardstrasse 201,,47.38614,8.51738,21
AVIA VOLT Suisse AG,Domat / Ems,7013,Parc Industrial Vial 10,,46.83112,9.42718,16
AVIA VOLT Suisse AG,Bonaduz,7402,Via Crusch 8,,46.8079,9.39707,14
AVIA VOLT Suisse AG,Dättwil,5405,Segelhofstrasse 1,,47.45842,8.2795,13
AVIA VOLT Suisse AG,Le Chenit,1348,Route de France 8,,46.58064,6.20974,13
AVIA VOLT Suisse AG,Oberkirch,6208,Leidenbergstrasse 17,,47.162967,8.091507,13
AVIA VOLT Suisse AG,Baden,5400,Kreuzweg,,47.47903,8.30378,10
AVIA VOLT Suisse AG,Neuhausen am Rheinfall,8212,Im Rhytech 1,,47.682461,8.613662,10
AVIA VOLT Suisse AG,Davos,7270,Scalettastrasse 22,,46.802174,9.8342,7
AVIA VOLT Suisse AG,Laax,7031,Via Uletsch 1,,46.81695,9.2673,7
AVIA VOLT Suisse AG,Dierikon,6036,Kantonsstrasse 29,,47.0939257,8.36279223,6
AVIA VOLT Suisse AG,Frauenfeld,8005,Zürcherstrasse 305,,47.5647,8.90991,6
AVIA VOLT Suisse AG,Glarus Süd,8783,Stachelbergstrasse 2,,46.92836,9.00187,6
AVIA VOLT Suisse AG,Neuhausen am Rheinfall,8212,Rheinfallstrasse,,47.67684,8.61003,6
AVIA VOLT Suisse AG,Pontresina,7504,Via Maistra 160,,46.49141,9.90384,6
AVIA VOLT Suisse AG,Pontresina,7504,Via Maistra 215,,46.48779,9.90757,6
AVIA VOLT Suisse AG,Sankt Margrethen,9430,Raststätte St. Margrethen Süd 1,,47.46070015,9.60313238,6
AVIA VOLT Suisse AG,Schaffhausen,8207,Ernst-Müller-Strasse 2,,47.71818089,8.67084878,6
AVIA VOLT Suisse AG,Engelberg,6390,Gerschnistrasse 12,,46.81676,8.39864,5
AVIA VOLT Suisse AG,Opfikon,8152,Riethofstrasse 40,,47.43867,8.56546,5
AVIA VOLT Suisse AG,Bonstetten,8906,Am Lochenweiher 167,,47.31011,8.47846,4
AVIA VOLT Suisse AG,Buttisholz,6218,Gewerbezone 82,,47.113809,8.078018,4
AVIA VOLT Suisse AG,Bühler,9055,Austrasse 8,,47.37506,9.40409,4
AVIA VOLT Suisse AG,Chur,7000,Rossbodenstrasse 18,,46.85185326,9.5054582,4
AVIA VOLT Suisse AG,Gonten,9108,Gontenstrasse 51,,47.33188,9.37428,4
AVIA VOLT Suisse AG,Jenaz,7231,Garola 15,,46.93683,9.71141,4
AVIA VOLT Suisse AG,Klosters,7250,Talbachstrasse,,46.86671,9.88333,4
AVIA VOLT Suisse AG,Lancy,1213,Route de Chancy 59,,46.187658,6.112805,4
AVIA VOLT Suisse AG,Niederhasli,8156,Grabenackerstrasse 1,,47.45948,8.49075,4
AVIA VOLT Suisse AG,Pontresina,7504,Via Maistra 133,,46.49282,9.90259,4
AVIA VOLT Suisse AG,Riom,7463,Pale Soura 6,,46.60978,9.58105,4
AVIA VOLT Suisse AG,Rüschlikon,8803,Säumerstrasse 37,,47.306047,8.550194,4
AVIA VOLT Suisse AG,Schaffhausen,8200,Fulachstrasse 150,,47.70878833,8.64131518,4
AVIA VOLT Suisse AG,Sennwald,9466,Simon - Frick - Strasse 3,,47.24553,9.51511,4
AVIA VOLT Suisse AG,St. Gallen,9500,Fürstenlandstrasse 17,,47.41526072,9.35364179,4
AVIA VOLT Suisse AG,Stein am Rhein,8260,Fronhofgass 3,,47.66094,8.858036,4
AVIA VOLT Suisse AG,Sursee,6210,Oberer Graben,,47.172612,8.111,4
AVIA VOLT Suisse AG,Thalwil,8800,Bahnhofstrasse 16,,47.295522,8.565964,4
AVIA VOLT Suisse AG,Untervaz,7204,Rüfiweg 4,,46.93237,9.5398,4
AVIA VOLT Suisse AG,Zuoz,7524,Via Castell 300,,46.59847,9.94947,4
AVIA VOLT Suisse AG,Zurich,8052,Fernsehstrasse 1,,47.41717,8.56141,4
AVIA VOLT Suisse AG,Bad Ragaz,7310,Hans-Albrecht-Strasse 1,,46.999054,9.504945,3
AVIA VOLT Suisse AG,Baden,5400,Bruggerstrasse 72,,47.479679,8.302928,3
AVIA VOLT Suisse AG,Ebnat-Kappel,9642,Gieselbach 2218,,47.25845811,9.14164369,3
AVIA VOLT Suisse AG,"Ems, Bonaduz",7013,Plazza Staziun,,46.83274,9.45227,3
AVIA VOLT Suisse AG,Gossau,9200,Bischofszellerstrasse 133,,47.4277,9.24115,3
AVIA VOLT Suisse AG,Grosswangen,6022,Gewerbe Mooshof 1,,47.12718072,8.05668517,3
AVIA VOLT Suisse AG,Ittigen,3063,Talgut-Zentrum 34,,46.974772,7.481642,3
AVIA VOLT Suisse AG,Kölliken,5742,Hauptstrasse 3,,47.33882633,8.02571118,3
AVIA VOLT Suisse AG,Küblis,7240,Hauptstrass 9,,46.91460572,9.77369817,3
AVIA VOLT Suisse AG,La Punt Chamues-ch,7522,Via Camünela 2,,46.578989,9.925235,3
