hotel,checkin,checkout,price,url
Waldhotel,2026-05-29,2026-06-01,CHF 2.597,https://www.booking.com/hotel/ch/waldhotel.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Burgenstock Hotels,2026-05-29,2026-06-01,CHF 3.637,https://www.booking.com/hotel/ch/burgenstock-hotels-ag.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Swiss Diamond Olivella,2026-05-29,2026-06-01,,https://www.booking.com/hotel/ch/swiss-diamond-olivella.html?aid=304142&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Zurich Marriott,2026-05-29,2026-06-01,"CHF 1,287",https://www.booking.com/hotel/ch/zurich-marriott.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
The Dolder Grand,2026-05-29,2026-06-01,"CHF 3,959",https://www.booking.com/hotel/ch/the-dolder-grand.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Suvretta House,2026-05-29,2026-06-01,,https://www.booking.com/hotel/ch/suvretta-house.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Tschuggen Grand Arosa,2026-05-29,2026-06-01,,https://www.booking.com/hotel/ch/tschuggen-grand-arosa-arosa.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Victoria Jungfrau Grand Hotel & Spa,2026-05-29,2026-06-01,CHF 3.655,https://www.booking.com/hotel/ch/victoria-jungfrau-grand-spa.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Park Hotel Vitznau,2026-05-29,2026-06-01,,https://www.booking.com/hotel/ch/park-vitznau-vitznau.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
The Alpina Gstaad,2026-05-29,2026-06-01,,https://www.booking.com/hotel/ch/the-alpina-gstaad.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Sporthotel Stock,2026-05-29,2026-06-01,"CHF 2,243",https://www.booking.com/hotel/at/sporthotel-stock.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
Luisenhöhe Gesundheitsresort Schwarzwald,2026-05-29,2026-06-01,CHF 1.377,https://www.booking.com/hotel/de/luisenhohe-gesundheitsresort-schwarzwald-horben.de.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
House of Architects,2026-05-29,2026-06-01,"CHF 1,383",https://www.booking.com/hotel/ch/house-of-architects.en-gb.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
7132 Hotel,2026-05-29,2026-06-01,"CHF 3,765",https://www.booking.com/hotel/ch/7132-vals.en-gb.html?aid=356980&sid=bda2869c302d0bbdd35722e91e54dc5f&checkin=2026-05-29&checkout=2026-06-01&group_adults=2&group_children=0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA
